,name,num_dense_elems,num_sparse_elems,csc,csr,coo,mtx,ds,uncomp
0,1k_hgmm_3p_LT_raw_feature_bc_matrix/raw_feature_bc_matrix,100000000,568061,1066222,1053613,1074875,6712702,../data/1k_hgmm_3p_LT_raw_feature_bc_matrix/raw_feature_bc_matrix,800000128
1,1k_hgmm_3p_LT_raw_feature_bc_matrix/raw_feature_bc_matrix,100000000,561280,1052563,1035140,1060273,6633567,../data/1k_hgmm_3p_LT_raw_feature_bc_matrix/raw_feature_bc_matrix,800000128
2,1k_hgmm_3p_LT_raw_feature_bc_matrix/raw_feature_bc_matrix,100000000,545518,1033921,979123,1039379,6456787,../data/1k_hgmm_3p_LT_raw_feature_bc_matrix/raw_feature_bc_matrix,800000128
3,1k_hgmm_3p_LT_raw_feature_bc_matrix/raw_feature_bc_matrix,100000000,577676,1097051,1070420,1104825,6859401,../data/1k_hgmm_3p_LT_raw_feature_bc_matrix/raw_feature_bc_matrix,800000128
4,1k_hgmm_3p_LT_raw_feature_bc_matrix/raw_feature_bc_matrix,100000000,561473,1051271,1031454,1058499,6648944,../data/1k_hgmm_3p_LT_raw_feature_bc_matrix/raw_feature_bc_matrix,800000128
5,1k_mouse_kidney_CNIK_3pv3_raw_feature_bc_matrix/raw_feature_bc_matrix,100000000,54052,125398,113475,126416,638697,../data/1k_mouse_kidney_CNIK_3pv3_raw_feature_bc_matrix/raw_feature_bc_matrix,800000128
6,1k_mouse_kidney_CNIK_3pv3_raw_feature_bc_matrix/raw_feature_bc_matrix,100000000,50736,119021,106978,119668,598500,../data/1k_mouse_kidney_CNIK_3pv3_raw_feature_bc_matrix/raw_feature_bc_matrix,800000128
7,1k_mouse_kidney_CNIK_3pv3_raw_feature_bc_matrix/raw_feature_bc_matrix,100000000,49119,112223,99525,112895,578010,../data/1k_mouse_kidney_CNIK_3pv3_raw_feature_bc_matrix/raw_feature_bc_matrix,800000128
8,1k_mouse_kidney_CNIK_3pv3_raw_feature_bc_matrix/raw_feature_bc_matrix,100000000,48621,112313,99585,113044,574347,../data/1k_mouse_kidney_CNIK_3pv3_raw_feature_bc_matrix/raw_feature_bc_matrix,800000128
9,1k_mouse_kidney_CNIK_3pv3_raw_feature_bc_matrix/raw_feature_bc_matrix,100000000,57571,130620,117221,131730,677590,../data/1k_mouse_kidney_CNIK_3pv3_raw_feature_bc_matrix/raw_feature_bc_matrix,800000128
10,Brain_Tumor_3p_raw_feature_bc_matrix/raw_feature_bc_matrix,100000000,28023,65041,53302,65067,332772,../data/Brain_Tumor_3p_raw_feature_bc_matrix/raw_feature_bc_matrix,800000128
11,Brain_Tumor_3p_raw_feature_bc_matrix/raw_feature_bc_matrix,100000000,17526,43606,37693,43544,208956,../data/Brain_Tumor_3p_raw_feature_bc_matrix/raw_feature_bc_matrix,800000128
12,Brain_Tumor_3p_raw_feature_bc_matrix/raw_feature_bc_matrix,100000000,26345,63473,52922,63472,314087,../data/Brain_Tumor_3p_raw_feature_bc_matrix/raw_feature_bc_matrix,800000128
13,Brain_Tumor_3p_raw_feature_bc_matrix/raw_feature_bc_matrix,100000000,23086,55787,46967,55824,273336,../data/Brain_Tumor_3p_raw_feature_bc_matrix/raw_feature_bc_matrix,800000128
14,Brain_Tumor_3p_raw_feature_bc_matrix/raw_feature_bc_matrix,100000000,26041,63511,52537,63467,309324,../data/Brain_Tumor_3p_raw_feature_bc_matrix/raw_feature_bc_matrix,800000128
